Land Area,Trade flow,Commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Tanzania, United Rep. of,Export,Fish,40529,41531,38546,44173,49217,42896,37216,47677,54467,39465,39611,39704,42004,33687,38342,33119
Tanzania, United Rep. of,Import,Crustaceans,21,54,5,8,16,44,11,31,4,4,3,7,4,7,3,6
Tanzania, United Rep. of,Import,Fish,297,221,150,291,370,450,2919,6822,6817,6243,5913,3883,6367,9267,19486,19605
Togo,Export,Crustaceans,215,230,0,0,16,0,0,0,91,0,0,0,8,10,0,25
Togo,Export,Fish,6181,9038,8968,7051,6948,6121,5018,259,2146,3603,485,834,36,108,190,179
Togo,Import,Crustaceans,3,35,146,317,111,1,3,79,0,38,0,10,13,1,3,6
Togo,Import,Fish,29880,27893,17672,19769,12845,21541,15357,13934,10933,15524,39471,53175,53845,51069,48533,59978
Tunisia,Export,Crustaceans,7058,4448,3649,3683,3885,4531,3706,3118,3540,2865,2941,3350,2689,3289,3732,4258
Tunisia,Export,Fish,2297,3498,5144,3199,5183,8395,9692,11999,10709,9852,9732,14182,12733,11561,9743,10455
Tunisia,Import,Crustaceans,143,38,80,83,34,185,174,459,431,962,1433,1007,770,237,63,55
Tunisia,Import,Fish,11232,16982,17379,27722,25611,36368,37972,37479,43732,44926,43026,41737,45155,36069,38163,25388
Uganda,Export,Crustaceans,0,9,0,12,0,25,0,0,6,0,18,0,3,10,1,0
Uganda,Export,Fish,14499,17013,25125,25406,31327,38371,36120,30872,26552,22535,22711,19421,21182,20183,17530,17814
Uganda,Import,Crustaceans,6,6,7,9,14,10,11,15,20,17,12,10,18,29,72,45
Uganda,Import,Fish,64,10,89,639,167,310,261,322,710,474,780,1299,1242,948,1846,2111
Zambia,Export,Crustaceans,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0
Zambia,Export,Fish,710,980,765,613,582,1032,254,240,1817,686,430,75,53,145,228,334
Zambia,Import,Crustaceans,7,10,7,2,4,0,5,9,4,18,33,42,66,132,107,97
Zambia,Import,Fish,1327,906,2120,3407,3961,5796,3867,4635,3435,3261,4426,8412,17902,33017,55642,78047
Zimbabwe,Export,Crustaceans,1,2,2,0,2,0,0,2,0,0,0,0,3,0,0,0
Zimbabwe,Export,Fish,816,936,712,520,708,563,805,1439,1487,966,1137,2056,2516,3255,5878,4972
Zimbabwe,Import,Crustaceans,79,41,61,28,53,171,48,29,16,11,19,32,32,67,63,83
Zimbabwe,Import,Fish,7453,3062,1494,952,2636,825,3472,1939,2273,3379,9968,13572,15513,17277,18053,21148
